"","name_stocks","f1","precision","recall"
"1","",0,0,0
"2","Ibovespa",0.0242424242424242,0.933333333333333,0.012280701754386
"3","Ibrx100",0.025974025974026,1,0.0131578947368421
"4","Ibrx50",0.0512820512820513,1,0.0263157894736842
"5","Ibra",0.0590717299578059,0.777777777777778,0.0307017543859649
"6","IGC",0.106995884773663,0.866666666666667,0.0570175438596491
