"","name_stocks","f1","precision","recall"
"1","",0,0,0
"2","CSI 1000",0.184615384615385,0.9,0.102857142857143
"3","Shangai",0.2,0.488888888888889,0.125714285714286
"4","SZSE Component",0.173643410852713,0.466666666666667,0.106666666666667
"5","HSCE",0.18,0.72,0.102857142857143
"6","A50",0.283687943262411,0.555555555555556,0.19047619047619
