"","name_serie","f1","precision","recall"
"1","",0,0,0
"2","Ibovespa",0.519298245614035,0.605847953216374,0.454385964912281
"3","Ibrx100",0.369230769230769,0.685714285714286,0.252631578947368
"4","Ibrx50",0.436781609195402,0.633333333333333,0.333333333333333
"5","Ibra",0.547058823529412,0.62,0.489473684210526
"6","IGC",0.493567251461988,0.740350877192982,0.370175438596491
