"","name_stocks","f1","precision","recall"
"1","",0,0,0
"2","DJI",0.209345794392523,0.386206896551724,0.143589743589744
"3","Nasdaq",0.248275862068966,0.378947368421053,0.184615384615385
"4","SP500",0.140277777777778,0.374074074074074,0.0863247863247863
"5","DJ Composite",0.188316151202749,0.480701754385965,0.117094017094017
"6","USSMALLCAP2000",0.172,0.390909090909091,0.11025641025641
