"","name_serie","f1","precision","recall"
"1","",0,0,0
"2","CSI 1000",0.188235294117647,0.16,0.228571428571429
"3","Shangai",0.32,0.261818181818182,0.411428571428571
"4","SZSE Component",0.306542056074766,0.227777777777778,0.468571428571429
"5","HSCE",0.356989247311828,0.286206896551724,0.474285714285714
"6","A50",0.297872340425532,0.23728813559322,0.4
