"","name_stocks","f1","precision","recall"
"1","",0,0,0
"2","CSI 1000",0.309219858156028,0.605555555555556,0.207619047619048
"3","Shangai",0.432098765432099,0.614035087719298,0.333333333333333
"4","SZSE Component",0.378181818181818,0.52,0.297142857142857
"5","HSCE",0.30354609929078,0.594444444444444,0.203809523809524
"6","A50",0.248,0.413333333333333,0.177142857142857
