"","name_stocks","f1","precision","recall"
"1","",0,0,0
"2","Ibovespa",0.299641577060932,0.819607843137255,0.183333333333333
"3","Ibrx100",0.333968253968254,0.604597701149425,0.230701754385965
"4","Ibrx50",0.310652920962199,0.717460317460317,0.198245614035088
"5","Ibra",0.322112211221122,0.650666666666667,0.214035087719298
"6","IGC",0.261168384879725,0.603174603174603,0.166666666666667
