"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.814070351758794,0.285714285714286,0.926829268292683,0.454545454545455,0.285714285714286,0.350877192982456
"3","Shangai",0.784254606365159,0.329523809523809,0.88130081300813,0.372043010752688,0.329523809523809,0.349494949494949
"4","SZSE Component",0.817420435510888,0.266666666666667,0.934959349593496,0.466666666666667,0.266666666666667,0.339393939393939
"5","CSI 1000",0.769514237855946,0.116190476190476,0.908943089430894,0.214035087719298,0.116190476190476,0.150617283950617
"6","S&PCITIC300",0.811055276381909,0.32,0.915853658536585,0.448,0.32,0.373333333333333
