"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.0914285714285714,0.520603015075377,0.228571428571429,0.0571428571428571
"3","Shangai",0.0677083333333333,0.400335008375209,0.0984848484848485,0.0515873015873016
"4","SZSE Component",0.161290322580645,0.477386934673367,0.25,0.119047619047619
"5","CSI 1000",0.00816326530612245,0.511557788944724,0.0285714285714286,0.00476190476190476
"6","S&PCITIC300",0.170760233918129,0.524958123953099,0.324444444444444,0.115873015873016
