"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.169491525423729,0.261306532663317,0.714285714285714,0.0961538461538462
"3","Shangai",0.269333333333333,0.265661641541039,0.612121212121212,0.172649572649573
"4","SZSE Component",0.304761904761905,0.315242881072027,0.746666666666667,0.191452991452991
"5","CSI 1000",0.0925490196078431,0.224790619765494,0.561904761904762,0.0504273504273504
"6","S&PCITIC300",0.268100358422939,0.315912897822446,0.831111111111111,0.15982905982906
