"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.331658291457286,0.0948905109489051,0.854838709677419,0.590909090909091,0.0948905109489051,0.163522012578616
"3","Shangai",0.353433835845896,0.143552311435523,0.817204301075269,0.634408602150538,0.143552311435523,0.234126984126984
"4","SZSE Component",0.341708542713568,0.0948905109489051,0.887096774193548,0.65,0.0948905109489051,0.165605095541401
"5","CSI 1000",0.336013400335008,0.0871046228710462,0.886021505376344,0.628070175438597,0.0871046228710462,0.152991452991453
"6","S&PCITIC300",0.354103852596315,0.122141119221411,0.866666666666667,0.669333333333333,0.122141119221411,0.206584362139918
