"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.355443886097152,0.123218390804598,0.979012345679012,0.940350877192982,0.123218390804598,0.217886178861789
"3","Shangai",0.431490787269682,0.240919540229885,0.94320987654321,0.919298245614035,0.240919540229885,0.381785063752277
"4","SZSE Component",0.34606365159129,0.102988505747126,0.998765432098765,0.995555555555556,0.102988505747126,0.186666666666667
"5","CSI 1000",0.280737018425461,0.0202298850574713,0.980246913580247,0.733333333333333,0.0202298850574713,0.0393736017897092
"6","S&PCITIC300",0.386934673366834,0.172413793103448,0.962962962962963,0.925925925925926,0.172413793103448,0.290697674418605
