"","name_currencies","f1","accuracy","specificity","precision","recall"
"1","",0,0,0,0,0
"2","EUR/BRL",0.192592592592593,0.634840871021776,0.956639566395664,0.619047619047619,0.114035087719298
"3","CLP/BRL",0.025974025974026,0.623115577889447,1,1,0.0131578947368421
"4","USD/BRL",0.160919540229885,0.633165829145729,0.967479674796748,0.636363636363636,0.0921052631578947
"5","CNY/BRL",0.284912280701754,0.658626465661642,0.955555555555555,0.712280701754386,0.178070175438596
