"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Ibovespa";0,751322751322751;0,258064516129032;0,992125984251969;0,941176470588235;0,258064516129032;0,40506329113924
"3";"Ibrx100";0,765784832451499;0,288172043010753;0,998950131233596;0,992592592592593;0,288172043010753;0,446666666666667
"4";"Ibrx50";0,756613756613757;0,258064516129032;1;1;0,258064516129032;0,41025641025641
"5";"Ibra";0,764373897707231;0,302150537634409;0,99002624671916;0,936666666666667;0,302150537634409;0,456910569105691
"6";"IGC";0,759082892416226;0,286021505376344;0,99002624671916;0,933333333333333;0,286021505376344;0,437860082304527
"7";"ITAG";0,75379188712522;0,286021505376344;0,982152230971129;0,886666666666667;0,286021505376344;0,432520325203252
"8";"IGCT";0,75978835978836;0,287096774193548;0,990551181102362;0,936842105263158;0,287096774193548;0,439506172839506
"9";"IFNC";0,743915343915344;0,287096774193548;0,966929133858268;0,809090909090909;0,287096774193548;0,423809523809524
"10";"IEEX";0,748500881834215;0,334408602150538;0,950656167979003;0,767901234567901;0,334408602150538;0,465917602996255
