"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.198324958123953,0.0866666666666667,0.852873563218391,0.775438596491228,0.0866666666666667,0.155908289241623
"3","Shangai",0.185259631490787,0.134901960784314,0.480459770114943,0.603508771929825,0.134901960784314,0.220512820512821
"4","SZSE Component",0.189614740368509,0.0698039215686275,0.891954022988506,0.791111111111111,0.0698039215686275,0.128288288288288
"5","CSI 1000",0.14572864321608,0.0117647058823529,0.931034482758621,0.5,0.0117647058823529,0.0229885057471264
"6","S&PCITIC300",0.198994974874372,0.110588235294118,0.717241379310345,0.696296296296296,0.110588235294118,0.190862944162437
