"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.366859344894027,0.485758998435055,0.773983739837398,0.24040404040404
"3","Nasdaq",0.389430894308943,0.529890453834116,0.997916666666667,0.241919191919192
"4","SP500",0.332539682539683,0.473552425665102,0.775925925925926,0.211616161616162
"5","USSMALLCAP2000",0.250772626931567,0.468857589984351,0.996491228070175,0.143434343434343
"6","NYSE Composite",0.249895178197065,0.440062597809077,0.735802469135802,0.150505050505051
