"","name_currencies","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","EUR/BRL",0.270707070707071,0.516247906197655,0.893333333333333,0.15952380952381
"3","CLP/BRL",0.100564971751412,0.466666666666667,0.988888888888889,0.0529761904761905
"4","USD/BRL",0.161748633879781,0.486097152428811,0.986666666666667,0.0880952380952381
"5","CNY/BRL",0.29874686716792,0.531323283082077,0.946031746031746,0.177380952380952
"6","ARS/BRL",0.111111111111111,0.463986599664992,0.833333333333333,0.0595238095238095
