"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.151898734177215,0.326633165829146,0.571428571428571,0.0875912408759124
"3","Shangai",0.230570902394107,0.300167504187605,0.474242424242424,0.152311435523114
"4","SZSE Component",0.234274952919021,0.31892797319933,0.518333333333333,0.151338199513382
"5","CSI 1000",0.0777041942604857,0.300167504187605,0.419047619047619,0.0428223844282239
"6","S&PCITIC300",0.214770459081836,0.341038525963149,0.597777777777778,0.130900243309002
