"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.550083752093802,0.0801587301587302,0.893333333333333,0.354385964912281,0.0801587301587302,0.130744336569579
"3","Shangai",0.506197654941374,0.141269841269841,0.772753623188406,0.312280701754386,0.141269841269841,0.194535519125683
"4","SZSE Component",0.564154103852596,0.073015873015873,0.922898550724638,0.408888888888889,0.073015873015873,0.123905723905724
"5","CSI 1000",0.561809045226131,0.00476190476190476,0.968695652173913,0.1,0.00476190476190476,0.00909090909090909
"6","S&PCITIC300",0.541373534338359,0.117460317460317,0.851014492753623,0.365432098765432,0.117460317460317,0.177777777777778
