"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.343383584589615,0.0924574209245742,0.897849462365591,0.666666666666667,0.0924574209245742,0.162393162393162
"3","Shangai",0.34036850921273,0.159610705596107,0.739784946236559,0.575438596491228,0.159610705596107,0.249904761904762
"4","SZSE Component",0.344723618090452,0.0788321167883212,0.932258064516129,0.72,0.0788321167883212,0.142105263157895
"5","CSI 1000",0.310887772194305,0.0141119221411192,0.966666666666667,0.483333333333333,0.0141119221411192,0.0274231678486998
"6","S&PCITIC300",0.353433835845896,0.128953771289538,0.849462365591398,0.654320987654321,0.128953771289538,0.215447154471545
