"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.261754385964912,0.341471048513302,0.731372549019608,0.159401709401709
"3","Nasdaq",0.296752136752137,0.356181533646322,0.741880341880342,0.185470085470085
"4","SP500",0.29553264604811,0.358372456964006,0.754385964912281,0.183760683760684
"5","USSMALLCAP2000",0.330639730639731,0.377777777777778,0.779365079365079,0.20982905982906
"6","NYSE Composite",0.25,0.352112676056338,0.821428571428571,0.147435897435897
