"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.206030150753769,0.1,0.827586206896552,0.772727272727273,0.1,0.177083333333333
"3","Shangai",0.231155778894472,0.141176470588235,0.758620689655172,0.774193548387097,0.141176470588235,0.238805970149254
"4","SZSE Component",0.195979899497487,0.0882352941176471,0.827586206896552,0.75,0.0882352941176471,0.157894736842105
"5","CSI 1000",0.220435510887772,0.0996078431372549,0.928735632183908,0.891228070175439,0.0996078431372549,0.179188712522046
"6","S&PCITIC300",0.229145728643216,0.122352941176471,0.855172413793103,0.832,0.122352941176471,0.213333333333333
