"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.291891891891892,0.384976525821596,0.931034482758621,0.173076923076923
"3","Nasdaq",0.336842105263158,0.408450704225352,0.941176470588235,0.205128205128205
"4","SP500",0.310160427807487,0.394366197183099,0.935483870967742,0.185897435897436
"5","USSMALLCAP2000",0.319148936170213,0.39906103286385,0.9375,0.192307692307692
"6","NYSE Composite",0.255555555555556,0.370892018779343,0.958333333333333,0.147435897435897
