"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Indice inflação";0,653834115805947;0,0658119658119658;0,99358024691358;0,855555555555556;0,0658119658119658;0,122222222222222
"3";"Nasdaq";0,666353677621283;0,15982905982906;0,959012345679012;0,692592592592593;0,15982905982906;0,259722222222222
"4";"SP500";0,661345852895149;0,268376068376068;0,888395061728395;0,581481481481481;0,268376068376068;0,367251461988304
"5";"Dow Jones";0,654773082942097;0,291452991452991;0,864691358024691;0,554471544715447;0,291452991452991;0,382072829131653
