"","name_currencies","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","EUR/BRL",0.267867867867868,0.591624790619766,0.743333333333333,0.163369963369963
"3","CLP/BRL",0.101718213058419,0.56214405360134,0.822222222222222,0.0542124542124542
"4","USD/BRL",0.175577557755776,0.581574539363484,0.886666666666667,0.0974358974358974
"5","CNY/BRL",0.333333333333333,0.624790619765494,0.888888888888889,0.205128205128205
"6","ARS/BRL",0.130639730639731,0.56750418760469,0.808333333333333,0.0710622710622711
