"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.204016064257028,0.336013400335008,0.806349206349206,0.116781609195402
"3","Shangai",0.274426807760141,0.310887772194305,0.589393939393939,0.178850574712644
"4","SZSE Component",0.311351351351351,0.359798994974874,0.72,0.198620689655172
"5","CSI 1000",0.0612159329140461,0.249916247906198,0.347619047619048,0.0335632183908046
"6","S&PCITIC300",0.307809523809524,0.391289782244556,0.897777777777778,0.185747126436782
