"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","Ibovespa",0.841269841269841,0.305555555555556,0.967320261437909,0.6875,0.305555555555556,0.423076923076923
"3","Ibrx100",0.846560846560847,0.277777777777778,0.980392156862745,0.769230769230769,0.277777777777778,0.408163265306122
"4","Ibrx50",0.846560846560847,0.277777777777778,0.980392156862745,0.769230769230769,0.277777777777778,0.408163265306122
"5","Ibra",0.846560846560847,0.333333333333333,0.967320261437909,0.705882352941177,0.333333333333333,0.452830188679245
"6","IGC",0.841269841269841,0.25,0.980392156862745,0.75,0.25,0.375
"7","ITAG",0.825396825396825,0.111111111111111,0.993464052287582,0.8,0.111111111111111,0.195121951219512
"8","IGCT",0.841269841269841,0.25,0.980392156862745,0.75,0.25,0.375
"9","IEEX",0.835978835978836,0.416666666666667,0.934640522875817,0.6,0.416666666666667,0.491803278688525
