"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Indice inflação";0,61283255086072;0,247008547008547;0,824197530864198;0,448062015503876;0,247008547008547;0,318457300275482
"3";"Nasdaq";0,628794992175274;0,134188034188034;0,914567901234568;0,475757575757576;0,134188034188034;0,209333333333333
"4";"SP500";0,651956181533646;0,268376068376068;0,87358024691358;0,550877192982456;0,268376068376068;0,360919540229885
"5";"Dow Jones";0,651956181533646;0,242735042735043;0,888395061728395;0,556862745098039;0,242735042735043;0,338095238095238
