"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.357142857142857,0.819095477386935,0.476190476190476,0.285714285714286
"3","Shangai",0.335864978902954,0.736348408710218,0.301515151515152,0.379047619047619
"4","SZSE Component",0.316444444444444,0.742378559463987,0.296666666666667,0.339047619047619
"5","CSI 1000",0.11156462585034,0.781239530988275,0.195238095238095,0.0780952380952381
"6","S&PCITIC300",0.287179487179487,0.767169179229481,0.311111111111111,0.266666666666667
