"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.331182795698925,0.513302034428795,0.626016260162602,0.225146198830409
"3","Nasdaq",0.435616438356164,0.613145539906103,0.99375,0.278947368421053
"4","SP500",0.292444444444444,0.501721439749609,0.609259259259259,0.192397660818713
"5","USSMALLCAP2000",0.281704260651629,0.551486697965571,0.985964912280702,0.164327485380117
"6","NYSE Composite",0.210874704491726,0.477621283255086,0.550617283950617,0.130409356725146
