"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.284018264840183,0.509233176838811,0.505691056910569,0.197460317460317
"3","Nasdaq",0.435036496350365,0.636619718309859,0.93125,0.283809523809524
"4","SP500",0.268557919621749,0.515805946791862,0.525925925925926,0.18031746031746
"5","USSMALLCAP2000",0.26989247311828,0.574960876369327,0.880701754385965,0.159365079365079
"6","NYSE Composite",0.194949494949495,0.501095461658842,0.476543209876543,0.122539682539683
