"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Indice inflação";0,806885758998435;0,131111111111111;0,917668488160291;0,207017543859649;0,131111111111111;0,160544217687075
"3";"Nasdaq";0,805007824726135;0,157777777777778;0,911111111111111;0,225396825396825;0,157777777777778;0,18562091503268
"4";"SP500";0,815649452269171;0,362222222222222;0,889981785063752;0,350537634408602;0,362222222222222;0,356284153005465
"5";"Dow Jones";0,806885758998435;0,297777777777778;0,890346083788707;0,308045977011494;0,297777777777778;0,302824858757062
