"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.300401606425703,0.454773082942097,0.733333333333333,0.188888888888889
"3","Nasdaq",0.327485380116959,0.460093896713615,0.717948717948718,0.212121212121212
"4","SP500",0.340392156862745,0.473552425665102,0.76140350877193,0.219191919191919
"5","USSMALLCAP2000",0.377777777777778,0.49170579029734,0.782539682539683,0.248989898989899
"6","NYSE Composite",0.299166666666667,0.473552425665102,0.854761904761905,0.181313131313131
