"";"name_currencies";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"EUR/BRL";0,657621440536013;0,183333333333333;0,950677506775068;0,696666666666667;0,183333333333333;0,290277777777778
"3";"CLP/BRL";0,647571189279732;0,0780701754385965;0,999457994579946;0,988888888888889;0,0780701754385965;0,144715447154472
"4";"USD/BRL";0,647571189279732;0,104385964912281;0,98319783197832;0,793333333333333;0,104385964912281;0,184496124031008
"5";"CNY/BRL";0,684757118927973;0,225438596491228;0,968563685636856;0,815873015873016;0,225438596491228;0,353264604810997
"6";"ARS/BRL";0,638190954773869;0,0789473684210526;0,983739837398374;0,75;0,0789473684210526;0,142857142857143
