"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Ibovespa";0,646560846560846;0,126315789473684;0,99646017699115;0,96;0,126315789473684;0,223255813953488
"3";"Ibrx100";0,603174603174603;0,0131578947368421;1;1;0,0131578947368421;0,025974025974026
"4";"Ibrx50";0,60705467372134;0,0245614035087719;0,99882005899705;0,933333333333333;0,0245614035087719;0,0478632478632479
"5";"Ibra";0,603174603174603;0,0131578947368421;1;1;0,0131578947368421;0,025974025974026
"6";"IGC";0,63668430335097;0,100877192982456;0,997050147492625;0,958333333333333;0,100877192982456;0,182539682539683
"7";"ITAG";0,626807760141094;0,0754385964912281;0,9976401179941;0,955555555555556;0,0754385964912281;0,139837398373984
"8";"IGCT";0,603174603174603;0,0131578947368421;1;1;0,0131578947368421;0,025974025974026
"9";"IFNC";0,632098765432099;0,167543859649123;0,944542772861357;0,670175438596491;0,167543859649123;0,268070175438597
"10";"IEEX";0,581305114638448;0,143859649122807;0,875516224188791;0,437333333333333;0,143859649122807;0,216501650165016
