"","name_stocks_chine","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","HSCE",0.164179104477612,0.437185929648241,0.523809523809524,0.0973451327433628
"3","Shangai",0.189384288747346,0.360469011725293,0.337878787878788,0.131563421828909
"4","SZSE Component",0.240522875816993,0.41608040201005,0.46,0.16283185840708
"5","CSI 1000",0.0293963254593176,0.380569514237856,0.133333333333333,0.0165191740412979
"6","S&PCITIC300",0.236829836829837,0.451591289782245,0.564444444444444,0.149852507374631
