"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.341708542713568,0.124137931034483,0.925925925925926,0.818181818181818,0.124137931034483,0.215568862275449
"3","Shangai",0.364824120603015,0.171034482758621,0.885185185185185,0.8,0.171034482758621,0.281818181818182
"4","SZSE Component",0.34036850921273,0.11632183908046,0.941975308641975,0.843333333333333,0.11632183908046,0.204444444444444
"5","CSI 1000",0.276381909547739,0.0689655172413793,0.833333333333333,0.526315789473684,0.0689655172413793,0.121951219512195
"6","S&PCITIC300",0.354773869346734,0.143448275862069,0.922222222222222,0.832,0.143448275862069,0.244705882352941
