"","name_currencies","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","EUR/BRL",0.227301587301587,0.592294807370184,0.852380952380952,0.131135531135531
"3","CLP/BRL",0.0217391304347826,0.547738693467337,1,0.010989010989011
"4","USD/BRL",0.176470588235294,0.577889447236181,0.818181818181818,0.0989010989010989
"5","CNY/BRL",0.28969696969697,0.607370184254606,0.83859649122807,0.175091575091575
