"","name_currencies","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","EUR/BRL",0.663316582914573,0.210526315789474,0.943089430894309,0.695652173913043,0.210526315789474,0.323232323232323
"3","CLP/BRL",0.693467336683417,0.315789473684211,0.926829268292683,0.727272727272727,0.315789473684211,0.440366972477064
"4","USD/BRL",0.586934673366834,0.0973684210526316,0.889430894308943,0.352380952380952,0.0973684210526316,0.152577319587629
"5","CNY/BRL",0.627470686767169,0.170175438596491,0.910027100271003,0.538888888888889,0.170175438596491,0.258666666666667
"6","ARS/BRL",0.620435510887772,0.180701754385965,0.892140921409214,0.508641975308642,0.180701754385965,0.266666666666667
