"","name_stocks","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","HSCE",0.45393634840871,0.103244837758112,0.914728682170543,0.614035087719298,0.103244837758112,0.176767676767677
"3","Shangai",0.439530988274707,0.174631268436578,0.787596899224806,0.519298245614035,0.174631268436578,0.261368653421634
"4","SZSE Component",0.474706867671692,0.103834808259587,0.962015503875969,0.782222222222222,0.103834808259587,0.183333333333333
"5","CSI 1000",0.4214405360134,0.00825958702064897,0.964341085271318,0.233333333333333,0.00825958702064897,0.015954415954416
"6","S&PCITIC300",0.455276381909548,0.139823008849558,0.869767441860465,0.585185185185185,0.139823008849558,0.225714285714286
