"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.271553228621291,0.34679186228482,0.762745098039216,0.165180467091295
"3","Nasdaq",0.295918367346939,0.352112676056338,0.743589743589744,0.184713375796178
"4","SP500",0.307008547008547,0.365571205007825,0.787719298245614,0.190658174097665
"5","USSMALLCAP2000",0.330988274706868,0.374960876369327,0.784126984126984,0.209766454352442
"6","NYSE Composite",0.26954954954955,0.365571205007825,0.890476190476191,0.158811040339703
