"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.273148148148148,0.508607198748044,0.479674796747968,0.190938511326861
"3","Nasdaq",0.381234567901235,0.607824726134585,0.804166666666667,0.249838187702265
"4","SP500",0.241726618705036,0.505164319248826,0.466666666666667,0.163106796116505
"5","USSMALLCAP2000",0.201092896174863,0.542410015649452,0.645614035087719,0.119093851132686
"6","NYSE Composite",0.163076923076923,0.489201877934272,0.392592592592593,0.102912621359223
