"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Ibovespa";0,622222222222222;0,142105263157895;0,945132743362832;0,635294117647059;0,142105263157895;0,232258064516129
"3";"Ibrx100";0,623280423280423;0,15;0,941592920353982;0,633333333333333;0,15;0,242553191489362
"4";"Ibrx50";0,616931216931217;0,128947368421053;0,945132743362832;0,6125;0,128947368421053;0,21304347826087
"5";"Ibra";0,631040564373898;0,17280701754386;0,939233038348083;0,656666666666667;0,17280701754386;0,273611111111111
"6";"IGC";0,625749559082892;0,159649122807018;0,939233038348083;0,63859649122807;0,159649122807018;0,255438596491228
"7";"ITAG";0,622574955908289;0,162280701754386;0,932153392330383;0,616666666666667;0,162280701754386;0,256944444444444
"8";"IGCT";0,615873015873016;0,147368421052632;0,930973451327434;0,589473684210526;0,147368421052632;0,23578947368421
"9";"IFNC";0,620458553791887;0,17280701754386;0,921533923303835;0,596969696969697;0,17280701754386;0,268027210884354
"10";"IEEX";0,594003527336861;0,17280701754386;0,877286135693215;0,48641975308642;0,17280701754386;0,255016181229773
