"";"name_commodity";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"Oil Brent";0,794377510040161;0,313846153846154;0,964130434782609;0,755555555555556;0,313846153846154;0,443478260869565
"3";"Natural Gas (EU)";0,771084337349398;0,138461538461538;0,994565217391304;0,9;0,138461538461538;0,24
"4";"Aluminum";0,737349397590362;0,0892307692307692;0,966304347826087;0,483333333333333;0,0892307692307692;0,150649350649351
"5";"Iron Ore";0,685140562248996;0,181538461538462;0,86304347826087;0,318918918918919;0,181538461538462;0,231372549019608
"6";"Copper";0,760374832663989;0,117948717948718;0,98731884057971;0,766666666666667;0,117948717948718;0,204444444444444
"7";"Gold";0,694243641231593;0,0758974358974359;0,91268115942029;0,234920634920635;0,0758974358974359;0,114728682170543
