"","name_stocks","f1","accuracy","precision","recall"
"1","",0,0,0,0
"2","Dow Jones",0.326760563380282,0.775586854460094,0.282926829268293,0.386666666666667
"3","Nasdaq",0.311827956989247,0.799687010954616,0.302083333333333,0.322222222222222
"4","SP500",0.268686868686869,0.77339593114241,0.246296296296296,0.295555555555556
"5","USSMALLCAP2000",0.253061224489796,0.828169014084507,0.326315789473684,0.206666666666667
"6","NYSE Composite",0.257309941520468,0.801251956181534,0.271604938271605,0.244444444444444
